"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Batch request for multiple names","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Batch request for multiple names","",""
"","9","Name with country localization","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Name with country localization","",""
"","4","Response includes rate limit headers","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Response includes rate limit headers","",""
"","6","Invalid API key returns error","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Invalid API key returns error","",""
"","3","Name with special characters","","Fri Jul 11 11:07:07 UTC 2025","passed","Fri Jul 11 11:07:07 UTC 2025","","Name with special characters","",""
"","5","Name with numbers returns an error or default","","Fri Jul 11 11:07:07 UTC 2025","passed","Fri Jul 11 11:07:07 UTC 2025","","Name with numbers returns an error or default","",""
"","5","Batch request with too many names","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Batch request with too many names","",""
"","5","Exceeding rate limit returns error","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Exceeding rate limit returns error","",""
"","20","Valid name returns estimated age","","Fri Jul 11 11:07:07 UTC 2025","passed","Fri Jul 11 11:07:07 UTC 2025","","Valid name returns estimated age","",""
"","6","Name with diacritics is handled correctly","","Fri Jul 11 11:07:07 UTC 2025","passed","Fri Jul 11 11:07:07 UTC 2025","","Name with diacritics is handled correctly","",""
"","5","Batch request with country localization","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Batch request with country localization","",""
"","18","Very long name parameter","","Fri Jul 11 11:07:07 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Very long name parameter","",""
"","5","Empty name parameter returns error","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Empty name parameter returns error","",""
"","4","Empty list of names","","Fri Jul 11 11:07:08 UTC 2025","passed","Fri Jul 11 11:07:08 UTC 2025","","Empty list of names","",""
